top.slotLength.null	REJECT	1	0.02	InstantiationError
top.slotLength.one	ACCEPT	124	3.02	not-rejected(3s)
top.slotLength.sci	ACCEPT	124	3.03	not-rejected(3s)
top.slotLength.str	REJECT	1	0.02	InstantiationError
top.slotLength.tiny	CRASH	1	0.14	Ratio has zero denominator
top.slotLength.zero	CRASH	1	0.14	Ratio has zero denominator
top.slotsPerKESPeriod.big63	ACCEPT	124	3.02	not-rejected(3s)
top.slotsPerKESPeriod.big64	REJECT	1	0.02	InstantiationError
top.slotsPerKESPeriod.bool	REJECT	1	0.02	InstantiationError
top.slotsPerKESPeriod.emptystr	REJECT	1	0.02	InstantiationError
top.slotsPerKESPeriod.float	REJECT	1	0.02	InstantiationError
top.slotsPerKESPeriod.half	REJECT	1	0.02	InstantiationError
top.slotsPerKESPeriod.huge	REJECT	1	0.02	InstantiationError
top.slotsPerKESPeriod.missing	REJECT	1	0.02	InstantiationError
top.slotsPerKESPeriod.neg1	REJECT	1	0.02	InstantiationError
top.slotsPerKESPeriod.negf	REJECT	1	0.02	InstantiationError
top.slotsPerKESPeriod.null	REJECT	1	0.02	InstantiationError
top.slotsPerKESPeriod.one	ACCEPT	124	3.02	not-rejected(3s)
top.slotsPerKESPeriod.sci	ACCEPT	124	3.02	not-rejected(3s)
top.slotsPerKESPeriod.str	REJECT	1	0.02	InstantiationError
top.slotsPerKESPeriod.tiny	REJECT	1	0.02	InstantiationError
top.slotsPerKESPeriod.zero	ACCEPT	124	3.02	not-rejected(3s)
top.systemStart.big63	REJECT	1	0.02	InstantiationError
top.systemStart.big64	REJECT	1	0.02	InstantiationError
top.systemStart.bool	REJECT	1	0.02	InstantiationError
top.systemStart.emptystr	REJECT	1	0.02	InstantiationError
top.systemStart.float	REJECT	1	0.02	InstantiationError
top.systemStart.half	REJECT	1	0.02	InstantiationError
top.systemStart.huge	REJECT	1	0.02	InstantiationError
top.systemStart.missing	REJECT	1	0.02	InstantiationError
top.systemStart.neg1	REJECT	1	0.02	InstantiationError
top.systemStart.negf	REJECT	1	0.02	InstantiationError
top.systemStart.null	REJECT	1	0.02	InstantiationError
top.systemStart.one	REJECT	1	0.02	InstantiationError
top.systemStart.sci	REJECT	1	0.02	InstantiationError
top.systemStart.str	REJECT	1	0.02	InstantiationError
top.systemStart.tiny	REJECT	1	0.02	InstantiationError
top.systemStart.zero	REJECT	1	0.02	InstantiationError
top.updateQuorum.big63	ACCEPT	124	3.02	not-rejected(3s)
top.updateQuorum.big64	REJECT	1	0.02	InstantiationError
top.updateQuorum.bool	REJECT	1	0.02	InstantiationError
top.updateQuorum.emptystr	REJECT	1	0.02	InstantiationError
top.updateQuorum.float	REJECT	1	0.02	InstantiationError
top.updateQuorum.half	REJECT	1	0.02	InstantiationError
top.updateQuorum.huge	REJECT	1	0.02	InstantiationError
top.updateQuorum.missing	REJECT	1	0.02	InstantiationError
top.updateQuorum.neg1	REJECT	1	0.02	InstantiationError
top.updateQuorum.negf	REJECT	1	0.02	InstantiationError
top.updateQuorum.null	REJECT	1	0.02	InstantiationError
top.updateQuorum.one	ACCEPT	124	3.02	not-rejected(3s)
top.updateQuorum.sci	ACCEPT	124	3.02	not-rejected(3s)
top.updateQuorum.str	REJECT	1	0.02	InstantiationError
top.updateQuorum.tiny	REJECT	1	0.02	InstantiationError
top.updateQuorum.zero	ACCEPT	124	3.02	not-rejected(3s)
SWEEP_DONE 417
